id_kalimat,teks_inggris,teks_jawa,teks_sunda,panjang_kata_inggris
21,Treasury yields surge as US consumer sentiment hits record low,Treasury ngasilake mundhak amarga sentimen konsumen AS tekan rekor,Perbendaharaan ngahasilkeun surge sakumaha sentimen konsumen AS hits catetan low,10
22,"Spotify's 2030 targets, product launch gives greater view into monetization goal -- UBS","Target 2030 Spotify, peluncuran produk menehi tampilan sing luwih gedhe babagan tujuan monetisasi -- UBS","Target 2030 Spotify, peluncuran produk masihan pandangan anu langkung ageung kana tujuan monetisasi -- UBS",13
23,"According to users on X, the website was hijacked by hackers in an attempt to trick visitors into installing malware.","Miturut pangguna ing X, situs web kasebut dibajak dening peretas minangka upaya kanggo ngapusi pengunjung supaya nginstal malware.","Numutkeun pamaké on X, ramatloka ieu dibajak ku hacker dina usaha trik datang kana masang malware.",20
24,Apple is asking the Supreme Court to narrow the App Store injunction won by Epic Games and overturn the court’s contempt ruling over external payment fees.,Apple njaluk Mahkamah Agung kanggo mbatesi injunksi App Store sing dimenangake dening Epic Games lan mbatalake keputusan pengadilan babagan biaya pambayaran eksternal.,Apple naroskeun ka Mahkamah Agung pikeun ngahususkeun paréntah App Store anu dimeunangkeun ku Epic Games sareng ngabalikeun putusan pengadilan ngeunaan biaya pamayaran éksternal.,26
25,"The team of scientists from James Cook University, University of Western Australia and Edith Cowan University surveyed coral reefs in the West Australian Houtman Abrolhos group of islands (HAI), publishing their findings on the extraordinary heat resilience of its corals in the journal Current Biology.","Tim ilmuwan saka Universitas James Cook, Universitas Australia Barat lan Universitas Edith Cowan nliti terumbu karang ing klompok pulo Houtman Abrolhos Australia Barat (HAI), nerbitake temuan babagan ketahanan panas sing luar biasa saka karang ing jurnal Biologi Saiki.","Tim ilmuwan ti James Cook University, Universitas Australia Kulon jeung Edith Cowan Universitas surveyed terumbu karang di West Australian Houtman Abrolhos grup pulo (HAI), medarkeun papanggihan maranéhanana dina resilience panas rongkah tina corals na dina jurnal Biologi Ayeuna.",45
26,Spotify has released a bunch of AI-powered tools that nudge users to create more content. It can be a bit much.,Spotify wis ngrilis akeh alat sing didhukung AI sing nudge pangguna kanggo nggawe konten liyane. Bisa dadi rada akeh.,Spotify parantos ngarilis sakumpulan alat anu dikuatkeun ku AI anu ngadorong pangguna pikeun nyiptakeun langkung seueur kontén. Bisa jadi rada loba.,21
27,"After Google Search's AI update, the word ""disregard"" now effectively breaks the search interface.","Sawise nganyari AI Google Search, tembung ""disregard"" saiki kanthi efektif ngilangi antarmuka telusuran.","Saatos apdet AI Google Search, kecap ""disregard"" ayeuna efektif ngarecah panganteur pilarian.",14
28,Cuprina to implement 1-for-8 share consolidation to address Nasdaq compliance,Cuprina kanggo ngetrapake konsolidasi saham 1-kanggo-8 kanggo ngatasi kepatuhan Nasdaq,Cuprina pikeun ngalaksanakeun konsolidasi saham 1-pikeun-8 pikeun ngungkulan patuh Nasdaq,10
29,"A Waymo spokesperson said it had expanded the temporary pause ""out of an abundance of caution"".","Juru bicara Waymo ujar manawa wis nggedhekake jeda sementara ""saka ati-ati"".","Juru bicara Waymo nyarios yén éta parantos ngalegaan jeda samentawis ""kusabab seueur ati-ati"".",16
30,Plus: Louis Vuitton’s cruise show at the Frick and a smoked-fish deli makes merch.,Plus: pameran pelayaran Louis Vuitton ing Frick lan deli iwak asap nggawe dagangan.,Tambih Deui: acara pesiar Louis Vuitton di Frick sarta Deli smoked-lauk ngajadikeun merch.,14
31,"Zayn Malik had one fan who seriously needed to cool off ... 'cause things got way too heated when some water bottles came flying his way during a fan event! Check it out -- video from Zayn’s Q&A at Banquet Records in Kingston, England,&hellip;","Zayn Malik duwe penggemar sing kudu kelangan ... 'amarga kahanan dadi panas banget nalika sawetara botol banyu teka nalika ana acara penggemar! Priksa metu - video saka Zayn Q & A ing Banquet Records ing Kingston, Inggris, & hellip;","Zayn Malik ngagaduhan hiji kipas anu peryogi pisan pikeun niiskeun ... 'sabab kaayaan janten panas teuing nalika sababaraha botol cai sumping ngalayang nalika aya acara kipas! Pariksa deui kaluar -- video ti Zayn urang Q & A di Banquet Records di Kingston, Inggris, & hellip;",44
32,Spain stocks higher at close of trade; IBEX 35 up 0.06%,"Saham Spanyol luwih dhuwur nalika nutup perdagangan; IBEX 35 munggah 0,06%","saham Spanyol luhur di nutup dagang; IBEX 35 naék 0,06%",11
33,Portugal stocks lower at close of trade; PSI down 0.66%,"Saham Portugal luwih murah nalika nutup perdagangan; PSI mudhun 0,66%","saham Portugal handap dina nutup dagang; PSI turun 0,66%",10
34,"DHL, FedEx, UPS call on EU to phase in new duties rules on low-value packages","DHL, FedEx, UPS nelpon Uni Eropa kanggo fase aturan tugas anyar babagan paket regane murah","DHL, FedEx, UPS nyauran EU pikeun fase dina aturan tugas anyar dina pakét anu murah",15
35,Netherlands stocks higher at close of trade; AEX up 0.97%,"Saham Walanda luwih dhuwur nalika nutup perdagangan; AEX munggah 0,97%","saham Walanda luhur di nutup dagang; AEX naék 0,97%",10
36,Italy stocks higher at close of trade; Investing.com Italy 40 up 0.75%,"Saham Italia luwih dhuwur nalika nutup perdagangan; Investing.com Italia 40 munggah 0,75%",Italia saham luhur di nutup dagang; Investing.com Italia 40 naék 0.75%,12
37,C.H. Robinson’s SWOT analysis: stock gains momentum on AI transformation,C.H. Analisis SWOT Robinson: saham entuk momentum ing transformasi AI,C.H. Analisis SWOT Robinson: saham gains moméntum dina transformasi AI,10
38,"Deepa Jewellers, a B2B hallmarked gold jewellery processor based in Hyderabad, and Cotec Healthcare, a pharmaceutical CDMO, both received SEBI approval for their IPOs. Deepa's IPO includes a Rs 250 crore fresh issue and an offer for sale by promoters.","Deepa Jewellers, prosesor perhiasan emas B2B sing adhedhasar ing Hyderabad, lan Cotec Healthcare, CDMO farmasi, loro-lorone nampa persetujuan SEBI kanggo IPO. IPO Deepa kalebu masalah anyar Rs 250 crore lan tawaran kanggo didol dening promotor.","Deepa Jewellers, prosesor perhiasan emas B2B anu ditandaan di Hyderabad, sareng Cotec Healthcare, CDMO farmasi, duanana nampi persetujuan SEBI pikeun IPOs na. IPO Deepa kalebet masalah seger Rs 250 crore sareng tawaran pikeun dijual ku promotor.",40
39,Germany stocks higher at close of trade; DAX up 1.31%,Simpenan Jerman luwih dhuwur nalika nutup perdagangan; DAX munggah 1.31%,saham Jérman luhur di nutup dagang; DAX naék 1.31%,10
40,"After a detour to Paris, the 262 passengers were able to fly to Milan hours later","Sawise nyimpang menyang Paris, penumpang 262 bisa mabur menyang Milan sawetara jam mengko","Saatos nyimpang ka Paris, 262 panumpang tiasa ngapung ka Milan sababaraha jam saatosna",16
41,The regulations were championed by river campaigners but angered many farmers across Wales.,Peraturan kasebut dijupuk dening para juru kampanye kali nanging nesu akeh petani ing Wales.,Perda ieu dijantenkeun ku juru kampanye walungan tapi ngaganggu seueur patani di Wales.,13
42,BJ's maintains FY2026 guidance for 2%-3% comps ex gas and $4.40-$4.60 EPS as Texas membership runs 33% ahead of plan,BJ's njaga panuntun dhumateng FY2026 kanggo 2% -3% comps ex gas lan $4.40-$4.60 EPS minangka anggota Texas mlaku 33% ahead saka rencana,BJ's mertahankeun hidayah FY2026 pikeun 2% -3% comps ex gas na $4.40- $4.60 EPS sakumaha kaanggotaan Texas ngajalankeun 33% dihareupeun rencana.,20
43,Polygon can reveal an exclusive image from the upcoming film — one that fans of the excellent comic Supergirl is based on may recognize.,Polygon bisa mbukak gambar eksklusif saka film sing bakal teka - sing bisa dingerteni para penggemar komik Supergirl sing apik banget.,Polygon tiasa ngungkabkeun gambar ekslusif tina pilem anu bakal datang - anu tiasa dipikanyaho ku peminat komik Supergirl anu saé.,24
44,"For all the diversity of the human condition, one experience is almost universally painful: adolescence. It's also unusual. Most other species pass from puberty to adulthood quickly, but humans linger for years in a transitional state, not quite children but not quite adults, either.","Kanggo kabeh macem-macem kahanan manungsa, siji pengalaman meh kabeh nglarani: remaja. Iku uga ora biasa. Umume spesies liya liwati saka pubertas nganti diwasa kanthi cepet, nanging manungsa tetep nganti pirang-pirang taun ing negara transisi, ora cukup bocah nanging uga ora diwasa.","Pikeun sakabéh keragaman kaayaan manusa, hiji pangalaman ampir universal nyeri: rumaja. Éta ogé teu biasa. Kalolobaan spésiés séjén lulus ti pubertas nepi ka dewasa gancang, tapi manusa linger mangtaun-taun dina kaayaan transisi, teu cukup barudak tapi teu cukup dewasa, boh.",44
45,"Dead seal pups on a Canadian island have been found with mysterious spiral-shaped injuries for years. The wounds were thought to be the work of sharks or boat propellers, but new research confirms a different cause.","Anak anjing laut mati ing pulo Kanada wis ditemokake kanthi ciloko berbentuk spiral sing misterius nganti pirang-pirang taun. Tatu kasebut dianggep minangka karya hiu utawa baling-baling prau, nanging riset anyar negesake sabab sing beda.","Pups anjing laut maot di hiji pulo Kanada geus kapanggih kalawan tatu spiral ngawangun misterius salila sababaraha taun. Tatu anu disangka karya hiu atawa baling-baling kapal, tapi panalungtikan anyar confirms sabab béda.",36
46,"Dawn French discusses loneliness, particularly among older women, on Woman's Hour.","Dawn French mbahas kasepen, utamane ing antarane wanita tuwa, ing Woman's Hour.","Fajar French ngabahas katiisan, utamana diantara awéwé heubeul, on Woman's Hour.",11
47,SpaceX to allow early share resale before usual six‑month lock-up,SpaceX ngidini adol maneh saham awal sadurunge ngunci enem sasi,SpaceX ngawenangkeun dijual deui saham awal sateuacan ngonci genep bulan biasa,10
48,Earnings call transcript: Legend Power Systems Q2 2026 sees margin boost,Transkrip panggilan penghasilan: Sistem Daya Katrangan Q2 2026 ndeleng dorongan margin,Transkrip panggero panghasilan: Katerangan Power Systems Q2 2026 ningali dorongan margin,11
49,Argentina said in talks to extend debt maturities past 2027 election,Argentina ngandika ing rembugan kanggo ngluwihi kadewasan utang liwat 2027 pamilihan,Argéntina nyarios dina ceramah pikeun manjangkeun kematangan hutang saatos pamilihan 2027,11
50,Clair Obscur fans will be able to play around with François as well with Good Smile's upcoming Nendoroid figure based on fan-favorite Esquie.,Penggemar Clair Obscur bakal bisa muter-muter karo François uga karo tokoh Nendoroid sing bakal teka Good Smile adhedhasar Esquie favorit penggemar.,Penggemar Clair Obscur bakal tiasa maén sareng François ogé sareng tokoh Nendoroid anu bakal datang Good Smile dumasar kana Esquie anu dipikaresep ku kipas.,23
